SURNAMES,MALE,FEMALE,
Bekker,Arsieu,Auisia,
Beklea,Artaud,Auizia,
Belchat,Artavasdas,Aunflis,
Belcour,Artemas,Aunphelice,
Bele,Artemidoros,Aurela,
Belgraver,Artemios,Aurelia,
Belkacem,Artemisthenes,Aureliana,
Bellaits,Arter,Aurelne,
Bellarmine,Arther,Auria,
Bellecote,Artheur,Auriana,
Bellier,Arthurius,Aurildis,
Bellini,Arthurus,Auriol,
Belloi,Artizar,Auriola,
Belloli,Artor,Aurkene,
Bellot,Artos,Austie,
Belludi,Artur,Austorga,
Belmis,Arturus,Austrechildis,
Belmon,Artus,Autonoe,
Belmondo,Artzai,Auxesia,
Belododia,Artzeiz,Ava,
Beltrametti,Arvandus,Avacyn,
Beltran,Arvide,Aveis,
Bembo,Arybbas,Avekin,
Benarrivo,Asasthenes,Avelina,
Benazi,Asbad,Aveline,
Benda,Asbadus,Avelot,
Bendinelli,Ascalaphus,Avelyn,
Benetti,Ascalo,Averell,
Benetton,Ascanius,Averil,
Benichou,Ascelin,Averill,
Benincasa,Ascelyn,Aveza,
Benizi,Aschetel,Avice,
Bennarivo,Aschetil,Avicia,
Beno,Aschetin,Avila,
Benoist,Aschines,Avilina,
Benoit,Ascila,Avin,
Benoldi,Asdrubal,Avina,
Benscheidt,Asentzio,Avis,
Benson,Asier,Avoca,
Bentele,Asius,Avril,
Benth,Askell,Awdrie,
Benyacs,Asketel,Awhina,
Benz,Asketin,Axiothea,
Beobide,Asklepios,Axpe,
Berangere,Asonides,Ayala,
Berardi,Asopodoros,Aye,
Berasategui,Asopus,Ayla,
Beraza,Aspar,Ayled,
Berbizier,Asphalion,Ayleth,
Berchoven,Aspuanis,Aylett,
Bercovici,Assaraeus,Ayliua,
Berdan,Asselin,Aylofa,
Berden,Astacos,Aylufa,
Berens,Astegal,Aylyetta,
Bergara,Astell,Ayzebel,
Berge,Aster,Azella,
Bergen,Asteri,Azitain,
Berger,Asterion,Baano,
Bergerat,Asterius,Bab,
Berghahn,Asteropaeus,Babbe,
Bergkamp,Astigar,Babcock,
Bergomi,Astin,Babel,
Bergonzi,Astor,Babesne,
Beringar,Astorge,Babeth,
Beriou,Astrabacus,Babetta,
Berisha,Astyanax,Babitt,
Berishaj,Atacinus,Bable,
Berlinghieri,Atarrabi,Babs,
Berlinguer,Atarratze,Badelota,
Bermani,Ataulf,Badia,
Bermont,Ataulph,Baiakua,
Bernadaux,Athalaric,Bakarne,
Bernadotte,Athalwolf,Bakene,
Bernard,Athamas,Baldechildis,
Bernardi,Athanagild,Balere,
Bernasconi,Athanaric,Baltelda,
Bernat,Atharid,Balthechildis,
Berneker,Athaulf,Balthildis,
Berneri,Athelard,Bar,
Berners,Athelardus,Barazorda,
Bernhoffer,Athelstan,Barbara,
Bernier,Athelston,Barbary,
Bernières,Athenades,Barbata,
Bernini,Athenaeus,Barbe,
Bernoldi,Athenion,Barber,
Bernotti,Athenodorus,Barberella,
Bernstein,Atiphates,Barberry,
Berriex,Atreus,Barbery,
Berriz,Atrometos,Barbeta,
Berruti,Atseden,Barbetta,
Bertetto,Attaginas,Barbie,
Berthold,Attaginos,Barbot,
Bertholf,Attalos,Barbota,
Berthome,Atymnius,Barria,
Bertillon,Atys,Barrika,
Bertin,Atze,Barsine,
Bertoletti,Atzo,Bartholomette,
Bertolini,Aubelet,Bartje,
Bertolucci,Auberi,Basaba,
Bertoluchi,Aubert,Basagaitz,
Berton,Aubertin,Basalgo,
Bertone,Aubery,Basandre,
Bertoni,Aubin,Basiane,
Bertotten,Aubinnet,Basilea,
Bertran,Aubour,Basilia,
Berty,Aubray,Basilie,
Bervoets,Aubri,Basilina,
Berzevicky,Aubry,Basill,
Besaçon,Audax,Basilla,
Besanceney,Audegar,Basille,
Bescanceny,Audemar,Basina,
Besonhé,Audila,Bassilly,
